globalId,sex,birthday,familyId
CFG583-01-A (525),Unknown,07/08/2023,87450
KXF530-01-A (186),Male,12/11/2024,4421
HJJ518-01-A (855),Male,01/22/2023,83607
FRJ675-01-A (185),Female,10/20/2022,81338
WSG161-01-A (350),Male,02/28/2025,4738
JBM041-01-A (459),Female,02/19/2025,4736
WWS790-01-A (142),Female,07/27/2022,83929
VZC888-01-A,Female,01/18/2023,83925
RTW198-01-A (176),Female,01/23/2022,82389
JLR169-01-A (317),Male,07/27/2023,82097
LMR839-01-A (548),Female,02/06/2023,87552
JQC757-01-A (186),Female,04/17/2023,87641
QRD096-01-A (251),Female,11/23/2022,88931
DFG495-01-A (624),Male,08/11/2023,80140
TVF938-01-A (713),Male,06/01/2023,88891
HLZ294-01-A (482),Male,10/18/2022,86326
YYX721-01-N (683),,03/02/2023,89686
CRB612-01-A (525),,06/23/2023,84556
QMF776-01-A (317),Unknown,07/10/2023,80071
TDX359-01-A (614),Female,08/31/2024,4719
LJD696-01-A (120),Female,01/31/2023,89811
JJK068-01-A (954),Male,01/04/2023,84105
VWT853-01-A (142),Male,03/17/2022,84647
HVB288-01-A (119),Male,05/25/2022,81785
VDW899-01-A (944),Male,10/26/2024,4731
HKC783-01-A (789),Female,10/03/2022,88091
MCV334-01-A (153),Male,06/27/2023,87429
HRG544-01-A (987),Female,02/12/2025,4121
WRD249-01-A (449),Male,04/10/2025,4751
PGQ393-01-A (284),Female,12/27/2022,87234
VGK107-01-A (153),,07/14/2022,86552
MLG277-01-A (153),Male,10/13/2022,83880
VBC946-01-A (987),Female,06/13/2023,87054
CCC242-01-A (130),Male,09/15/2024,4714
DTQ848-01-A (482),Male,12/05/2024,4116
TKR446-01-A (548),Unknown,06/26/2023,83806
KNB361-01-A (690),,05/06/2023,85917
ZVX093-01-A (241),,05/29/2023,85082
SFV056-01-A (383),Male,07/02/2025,4141
YMF346-01-A (350),Male,10/05/2024,4718
KRS023-01-A (218),Male,04/22/2025,4136
MBC594-01-A (657),Female,03/13/2023,83818
XCT053-01-A (284),Male,07/02/2023,86069
JTM922-01-A (317),Male,12/21/2022,84041
VQF882-01-A (548),Female,06/14/2023,89648
BRL402-01-A (723),Female,03/25/2025,4132
MMQ065-01-A (251),Male,07/27/2022,85737
PJV818-01-A (614),Male,09/03/2022,82460
JFL342-01-A (690),Male,04/16/2025,4131
NCD314-01-A (426),Male,12/01/2024,4117
YNF452-01-A (317),Male,12/21/2024,4417
NDP128-01-A (954),Female,08/19/2024,4701
GHT947-01-A (284),Female,11/17/2022,83553
JJT668-01-A (449),Female,03/16/2025,4735
CKL621-01-A (624),Male,05/16/2025,4128
LZV055-01-A (779),Male,08/26/2024,4724
LMP796-01-A (548),,03/04/2023,80790
SJB279-01-A (186),Female,02/19/2025,4118
KYL770-01-A (515),,05/20/2023,88562
GYL243-01-A (218),Female,12/19/2024,4114
FVG772-01-A (152),Female,05/14/2022,87922
JXP185-01-A (581),Male,02/12/2025,4437
JKF478-01-A (987),Male,02/02/2023,86460
YPB464-01-A (350),Female,11/29/2024,4414
GXM057-01-A (317),Male,03/14/2025,4438
PKS896-01-A (746),,02/22/2023,80631
LSF764-01-A (251),Female,08/06/2022,86136
