globalId,sex,birthday,familyId
CFG583-01-A (525),Unknown,07/08/2023,87450
RVT795-01-A (142),Female,09/27/2018,82145
XQV573-01-A (143),Female,01/18/2019,83194
KDL739-01-N (429),Female,11/06/2018,87652
KGJ856-01-A (120),Male,08/02/2019,83879
TDS587-01-A (548),Female,06/11/2020,84052
LKX501-01-A (218),Male,09/14/2009,360
GSS927-01-N (990),Female,11/15/2016,5019
KRC117-01-A (822),Male,10/15/2018,80606
SQM567-01-A (680),Male,09/24/2015,1692
HJJ518-01-A (855),Male,01/22/2023,83607
PMY376-01-A (779),Female,02/13/2019,80929
CTX789-01-A (812),Male,03/07/2019,80619
LVX258-01-A (878),Female,05/10/2010,473
NTM103-01-A (152),Female,10/21/2012,686
NNM301-01-A (954),Female,11/08/2022,80625
FRJ675-01-A (185),Female,10/20/2022,81338
WZT862-01-A (274),Male,01/08/2015,1676
YHF868-01-A (482),Male,12/16/2011,579
BHJ759-01-A (822),Male,10/23/2021,86354
PZH655-01-A (647),Female,02/22/2020,89316
GFH183-01-M (966),Male,11/17/2011,662
SDH473-01-A (954),Female,05/23/2009,310
QYX270-01-A (944),Female,02/25/2019,88073
CSS863-01-A (383),Female,03/13/2017,6050
BDN943-01-A (657),,05/20/2019,87348
WWS790-01-A (142),Female,07/27/2022,83929
ZJF967-01-A (581),Female,08/23/2022,86235
MMN084-01-A (185),,07/19/2019,86962
YXC616-01-A (614),Female,08/29/2019,87804
VZC888-01-A,Female,01/18/2023,83925
RTW198-01-A (176),Female,01/23/2022,82389
PCG628-01-A (855),Male,08/09/2010,506
FNF959-01-A (186),Male,10/17/2018,86011
BQJ031-01-A (558),Male,02/09/2017,2121
KCT927-01-A (185),Male,08/09/2020,88029
JLR169-01-A (317),Male,07/27/2023,82097
XLV074-01-A (746),Female,04/28/2019,87379
RBR931-02-A (185),Male,04/29/2011,563
NCF401-01-N (835),Female,08/12/2016,3015
LMR839-01-A (548),Female,02/06/2023,87552
TTG223-01-A (251),Male,02/08/2019,82450
XXC335-01-A (515),Unknown,10/05/2022,84330
PBF223-01-A (492),Male,11/26/2012,1485
GVZ320-01-A (449),Female,02/11/2020,87596
TPC143-01-A (120),Male,11/18/2016,2104
NVS704-01-A (647),Female,10/12/2009,358
BHN151-01-A (492),Female,07/23/2021,89954
KWY202-01-A (548),Male,09/21/2011,638
JQC757-01-A (186),Female,04/17/2023,87641
TQQ027-01-A (548),Female,12/28/2019,89657
LKZ423-01-A (383),Male,02/13/2020,84335
QRD096-01-A (251),Female,11/23/2022,88931
TKF056-01-A (153),Unknown,12/28/2019,89939
BKX774-01-A (284),Male,01/19/2012,1407
ZRN359-01-A (944),Male,10/26/2019,84989
XVF774-01-A (779),Female,04/15/2018,81659
DFG495-01-A (624),Male,08/11/2023,80140
TVF938-01-A (713),Male,06/01/2023,88891
RXV106-01-A (812),Female,02/14/2019,82891
BPZ685-01-A (548),Female,05/20/2021,83612
CSG043-01-A (657),Female,06/13/2009,287
SDH473-02-A (987),Female,05/17/2010,439
HLZ294-01-A (482),Male,10/18/2022,86326
HSD339-01-A (987),Male,07/01/2020,82968
YYX721-01-N (683),,03/02/2023,89686
CRB612-01-A (525),,06/23/2023,84556
JNF576-01-A (153),Female,07/28/2009,386
BJH083-01-A (492),Male,01/14/2018,86055
WQC189-01-A (482),Male,01/09/2019,86320
NTG064-01-A (152),,01/24/2019,88291
XGC495-01-A (185),Male,07/20/2020,86166
QMF776-01-A (317),Unknown,07/10/2023,80071
JKT846-01-A (416),Female,08/03/2020,88876
NRN845-01-A (548),Male,12/22/2018,81808
YGY528-01-A (845),Male,04/06/2022,80510
SDT653-01-A (350),Female,01/29/2019,86505
GZM171-01-A (284),Male,05/29/2012,1406
SMJ584-01-A (416),Female,10/04/2019,80260
QTV353-01-A (779),Male,09/15/2011,661
TZR553-01-A (110),Female,08/20/2022,88166
YDD897-01-A (350),Female,10/03/2009,348
SSN103-01-A (317),Male,12/31/2018,82081
CSH696-01-A (152),Male,06/16/2010,434
JZP660-01-A (581),Female,08/20/2022,83633
PLV393-01-A (614),Male,11/03/2010,543
QCQ304-01-A (921),Male,11/26/2021,83459
RDJ491-01-A (987),Female,09/22/2009,351
XSQ553-01-A (878),Female,10/27/2022,89826
RLQ120-01-A (119),Female,12/16/2021,83374
LYQ721-01-A (581),Female,09/16/2008,72
CLH233-01-A (492),Male,01/12/2019,85674
LJD696-01-A (120),Female,01/31/2023,89811
SSX741-01-A (911),Male,03/09/2019,80835
JJK068-01-A (954),Male,01/04/2023,84105
BBQ772-01-A (690),,12/09/2018,83582
VWT853-01-A (142),Male,03/17/2022,84647
ZWG279-01-A (911),Male,02/08/2022,83406
HVB288-01-A (119),Male,05/25/2022,81785
WFY450-01-A (548),Male,09/02/2019,89784
ZBF912-01-A (987),Male,09/22/2016,2057
RRN145-01-A (449),Male,01/26/2013,1511
YSY780-01-A (241),Male,01/06/2022,86605
HKC783-01-A (789),Female,10/03/2022,88091
MBB404-01-A (294),Female,06/09/2022,87648
QHS047-01-A (284),Male,10/09/2016,3025
MCV334-01-A (153),Male,06/27/2023,87429
QHC177-01-A (888),Female,04/23/2020,82588
WLB161-01-A (954),Female,05/05/2019,85465
PSK314-01-A (251),Female,06/11/2021,82819
BTM175-01-A (153),Female,05/13/2019,82077
QKY801-01-A (515),,01/10/2022,82875
VKK892-01-A (548),Female,10/22/2016,6037
WBF935-01-A (153),Female,06/03/2011,577
VFY142-01-A (449),Male,01/25/2022,82067
VQX210-01-A (647),Female,09/26/2019,86414
DZJ183-01-A (185),Female,02/03/2015,1686
TLS032-01-A (317),Male,09/07/2013,1608
XVL743-01-A (845),Male,08/24/2018,84513
DNW140-01-A (987),Male,12/19/2016,5018
